habit_id,habit_name_en,habit_name_cn,category_group_en,category_group_cn,category_name_en,category_name_cn,tracking_ui_type,tracking_unit,tracking_default_target,tracking_min,tracking_max,tracking_increment,time_of_day,estimated_duration_min,difficulty,is_default_bundle,two_min_version_en,two_min_version_cn,custom_target_allowed,notes_for_product
H040,Language practice,语言练习,Productivity & Growth,长,Growth,长,duration_optional_text,minutes,15,5,60,5,Morning,15,moderate,FALSE,"Open Duolingo and complete one lesson right now","打开 Duolingo 完成一课",TRUE,"Optional text for what you practiced."
H041,Skill study,技能学习,Productivity & Growth,长,Growth,长,duration_optional_text,minutes,30,15,120,15,"Any",30,moderate,FALSE,"Open your course and do 5 minutes — just 5","打开你的课程做 5 分钟 — 就 5 分钟",TRUE,"Allow naming the skill. Cumulative hours is key."
H042,Review top 3 priorities,回顾 3 件要事,Productivity & Growth,长,Growth,长,multi_text_required,text,null,null,null,null,Morning,5,easy,FALSE,"Write down the one most important thing for today","写下今天最重要的一件事",FALSE,"MUST write 3 priorities. Multi-field input."
H043,Creative work,创意工作,Productivity & Growth,长,Growth,长,duration_optional_text,minutes,30,10,120,10,"Any",30,moderate,FALSE,"Make one small thing right now — even a rough draft","现在做一件小事 — 即使是草稿",TRUE,"Optional text for what you created."
H044,Learning log,学习日志,Productivity & Growth,长,Growth,长,text_required,text,null,null,null,null,Evening,2,easy,FALSE,"Write one sentence: what's one thing I noticed or learned today?","写一句话：我今天注意到或学到的一件事是什么？",FALSE,"MUST write one sentence. Lightweight."
H045,Deep work block,深度工作,Productivity & Growth,长,Growth,长,duration_optional_text,minutes,120,25,240,25,Morning,120,hard,FALSE,"Close all browser tabs except one and work for 25 minutes","关闭除一个之外的所有浏览器标签，工作 25 分钟",TRUE,"Optional text for what you worked on."
H046,Log spending,记录支出,Financial,财,Financial,财,multi_text_required,text,null,null,null,null,Evening,5,moderate,FALSE,"Log the last thing you spent money on","记录你最后花钱买的东西",FALSE,"MUST write item and amount. Category optional."
H047,Transfer to savings,转存储蓄,Financial,财,Financial,财,number,amount ($),null,0,null,null,Morning,2,easy,FALSE,"Transfer $1 to savings right now — seriously, just $1","现在转账 1 美元到储蓄 — 认真的，就 1 美元",TRUE,"Track amount. Progress toward savings goal."
H048,Weekly budget review,每周预算回顾,Financial,财,Financial,财,text_required,text,null,null,null,null,"Any",15,moderate,FALSE,"Open your bank app and look at this week's spending right now","打开你的银行应用看看这周的支出",FALSE,"MUST write reflection. Weekly frequency."
H049,Invest today,今日投资,Financial,财,Financial,财,boolean_optional_text,yes/no,1,0,1,1,"Any",5,moderate,FALSE,"Open your investment app and look at your account balance","打开你的投资应用看看账户余额",FALSE,"Optional text for amount/where."
H050,Credit score check,检查信用评分,Financial,财,Financial,财,boolean_optional_text,yes/no,1,0,1,1,"Any",5,easy,FALSE,"Check your credit score right now — most banks show it for free","现在查看你的信用评分 — 大多数银行免费提供",FALSE,"Optional text for score."
H051,Make the bed,整理床铺,Home & Environment,居,Environment,居,boolean,yes/no,1,0,1,1,Morning,3,easy,TRUE,"Pull up your duvet right now — that counts","现在拉平你的被子 — 这就算",FALSE,"Classic keystone habit."
H052,Tidy for 10 min,打扫 10 分钟,Home & Environment,居,Environment,居,duration,minutes,10,5,30,5,Evening,10,easy,FALSE,"Set a 10-minute timer and just start — anywhere","设置一个 10 分钟的计时器，随便从哪里开始",FALSE,"Timer-based framing is important."
H053,Declutter one thing,断舍离一件物品,Home & Environment,居,Environment,居,boolean_optional_text,yes/no,1,0,1,1,"Any",5,easy,FALSE,"Pick up the first thing you see that you don't need — let it go","拿起你看到的第一件不需要的东西 — 让它走",FALSE,"Optional text for what you decluttered."
H054,Gardening,园艺,Home & Environment,居,Environment,居,duration_optional_text,minutes,10,5,60,5,"Any",10,easy,FALSE,"Water one plant right now","现在给一株植物浇水",TRUE,"Optional text. For users with plants."
